IPERC - ID,Sectores de Trabajo (Master Component),Process ES,Task Number,Task Description,Dangers (L3),Condición de Peligro,Risks (L3),Initial Consequence (L3),Initial Probability (L3),Measures Control (Unficate),Final Consequence (L3),Clasifications Consequence (L3),Q Final Consequence (L3),Final Probability (L3),Cantidad Referencia (from Final Probability (L3)),FRL Valoration,FRL Clasification,IRL Clasification (L1),IRL Description Clasification (L1)
Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua),Equipo de construcción Anclajes,Acnlajes y Submuración de Subsuelo,4,Inyección de lechada cementicia  (cemento y agua),Sustancia Irritante o Alergizante,No Rutinario,Contacto con los Ojos,Irritación Ocular por Polvo,Probable,"CONTROL DE INGENIERÍA
-Instalación de duchas lavaojos en obra
-Protección física / pantallas en zona de acoples y frente de línea (chapas)
-Plataforma antideslizante, firme y nivelada para apoyar o placas temporales donde se opera la bomba/acoples.
-Botón de parada de emergencia (E-Stop) accesible
-Válvula de retención para evitar retorno brusco de lechada.
-Mangueras/tuberías certificadas para la presión (No usar mangueras “comunes”).
-Soportes/caballetes para sostener tramos
-Delimitar y canalizar la línea (ruta de tubería) evitando que cruce zonas de circulación
-Tendido de cables a 2mt de altura.
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la Bomba de Impulsión
-Zonas de acceso restringido a personal calificado.
-Permiso de Trabajo Seguro aprobado por HS&B.
-Capacitación del personal sobre Riesgos Específicos(proyecciones, quemaduras químicas por cemento) y Procedimientos Seguros
-Designar jefe de maniobra (una sola voz) y ayudantes
-Comunicación directa (handy o radio) 
-Cartelería: ""Sólo personal autorizado""
EPP
Casco, Ropa de trabajo (manga larga e impermeable), Botas de seguridad, gafas + pantalla facial, guantes de Nitrilo, protección auditiva, respiratoria y chaleco reflectante. Los equipos dentro de la tronera se encuentran sujetos por Arnés con cabo de vida y línea de vida que tiene su punto de anclaje por fuera de la tronera.",Irritación Ocular por Polvo,Daño Leve,1,Improbable,2,2,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia,Equipo de construcción Anclajes,Acnlajes y Submuración de Subsuelo,4,Inyección de lechada cementicia,Máquina,No Rutinario,Contacto Eléctrico Directo,Muerte,Probable,"CONTROL DE INGENIERÍA
-Puesta a tierra certificada
-Plataforma antideslizante, firme y nivelada para apoyar o placas temporales donde se opera la bomba/acoples.
-Botón de parada de emergencia (E-Stop) accesible.
-Tendido de cables a 2mt de altura.
-Tablero eléctrico elevado (fuera de zonas inundables)
-Cableado y fichas industriales en buen estado, sin empalmes.
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la Bomba de Impulsión
-Verificar certificación del operador
-Zonas de acceso restringido a personal calificado
-Señalización: Equipo en operación
-Identificación y señalización de los tableros eléctricos
-Permiso de Trabajo Seguro aprobado por HS&B
-Capacitación sobre uso de máquinas eléctricas y procedimientos seguros
-Supervisión 
-Instalación de Extintor 
EPP
-Casco con mentonera, Ropa de trabajo (impermeable y reflectiva), Botas de seguridad, gafas, guantes, protección auditiva, Arnés con cabo de vida.
",Muerte,Daño Fatal,5,Improbable,2,10,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
Acnlajes y Submuración de Subsuelo - 7 Ejecución de Anclajes – Tracción y colocación de la placa de apoyo (tensado),Equipo de construcción Anclajes,Acnlajes y Submuración de Subsuelo,7,Ejecución de Anclajes – Tracción y colocación de la placa de apoyo (tensado),Proyección de partícula,No Rutinario,Contacto con los Ojos,Contusiones,Probable,"CONTROL DE INGENIERÍA
-Instalación de duchas lavaojos en obra
-Protección física / pantallas (policarbonato grueso o chapas anti-proyección) entre el anclaje y el personal.
-Uso de capuchón/cobertor de cabeza de anclaje
-Mangueras certificadas + funda anti-latigazo
-Acoples con traba/pasador
-Montaje y asiento seguro de placa, dimensionada y en buen estado (sin fisuras, sin deformaciones, superficie plana).
-
CONTROL ADMINISTRATIVO
- Check list antes de tensar: placa correcta, sin fisuras; cuñas/tuercas, compatibles y bien asentadas; acero, sin daño visible; mangueras, sin ampollas/cortes.
-PTS específico “Tensado y colocación de placa"" y Permiso de Trabajo Seguro firmado por HS&B.
-Zonas de acceso restringido a personal calificado (operador de tensado, ayudante, vigía)
-Señalización: “NO INGRESAR” y control de accesos.
-Capacitación del personal sobre Riesgos Específicos (proyecciones, y Procedimientos Seguros
EPP
Casco, Ropa de trabajo (manga larga e impermeable), Botas de seguridad, gafas + pantalla facial, guantes, protección auditiva (si corresponde) y chaleco reflectante. Los equipos dentro de la tronera se encuentran sujetos por Arnés con cabo de vida y línea de vida que tiene su punto de anclaje por fuera de la tronera.",Contusiones,Daño Moderado,2,Improbable,2,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora y Cortadora de Varillas),Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,2,Preparación de Estructuras (Dobladora y Cortadora de Varillas),Máquina,Rutinario,Contacto Eléctrico Directo,Muerte,Probable,"CONTROL DE INGENIERÍA
-Puesta a tierra certificada
-Plataforma firme y nivelada para apoyar la Cortadora y Dobladora de Varillas
-Botón de parada de emergencia (E-Stop) accesible.
-Tendido de cables a 2mt de altura.
-Tablero eléctrico elevado (fuera de zonas inundables)
-Cableado y fichas industriales en buen estado, sin empalmes.
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la cortadora y dobladora de varillas de hierro (protecciones, partes móviles)
-Verificar certificación del operador
-Zonas de acceso restringido a personal calificado
-Señalización: Equipo en operación
-Identificación y señalización de los tableros eléctricos
-Permiso de Trabajo Seguro aprobado por HS&B
-Capacitación sobre uso de máquinas eléctricas
-Supervisión 
-Instalación de Extintor 
EPP
Casco, Ropa de trabajo (al cuerpo), Calzado de seguridad, gafas, guantes anticorte, protección auditiva, chaleco reflectivo.",Muerte,Daño Fatal,5,Improbable,2,10,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Cortadora de Varillas),Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,2,Preparación de Estructuras (Cortadora de Varillas),Máquina,Rutinario,Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,Amputaciones,Probable,"CONTROL DE INGENIERÍA
-Protección fija o móvil que cubra cuchilla y zona de corte.
-Sistema de parada de emergencia (botón de golpe)
-Pedal (cubre-pedal + anti accionamiento accidental)
-Mesa estable y altura adecuada
-Señalización física en la máquina (zona de peligro pictogramas).
-Tendido de cables a 2mt de altura.
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la Cortadora de varillas
-Zonas de acceso restringido a personal calificado
-Permiso de Trabajo Seguro aprobado por HS&B
-Capacitación del personal sobre Riesgos Específicos y Procedimientos Seguros
-Cartelería: ""Sólo personal autorizado""
-Orden y limpieza (recortes/piezas cerca del punto de operación
EPP
Casco, Ropa de trabajo (al cuerpo), Calzado de seguridad, gafas, guantes anticorte, protección auditiva, chaleco reflectivo.",Amputaciones,Daño Muy Grave,4,Improbable,2,8,Riesgo Tolerable,Riesgo Tolerable,"Monitoreo y control para mantener el riesgo o impacto por lo menos en este nivel, sin perjuicio de que se puedan implementar medidas para reducirlos al nivel inferior."
Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora de Varillas),Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,2,Preparación de Estructuras (Dobladora de Varillas),Máquina,Rutinario,Atrapamiento por o Entre Objetos,Laceraciones Moderadas,Probable,"CONTROL DE INGENIERÍA
-Protección en punto de operación (plato, pernos, brazo)
-Pedal (cubre-pedal + anti accionamiento accidental)
-Sistema de parada de emergencia (botón de golpe)
-Mesa estable y altura adecuada
-Limitadores/guías que contengan la varilla durante el doblado.
-Instalar racks porta-varillas/contenedor de recortes.
-Señalización física en la máquina (zona de peligro pictogramas).
-Tendido de cables a 2mt de altura.
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la Dobladora de varillas.
-Zonas de acceso restringido a personal calificado.
-Permiso de Trabajo Seguro aprobado por HS&B.
-Capacitación del personal sobre Riesgos Específicos y Procedimientos Seguros
-Bloqueo/etiquetado en mantenimiento (desatascos, cambios de pernos/ajustes)
-Cartelería: ""Sólo personal autorizado"".
-Orden y limpieza (recortes/piezas cerca).
-Delimitar área de barrido de varillas largas.
-Trabajo en parejas para varillas largas/pesadas.
EPP
Casco, Ropa de trabajo (al cuerpo), Calzado de seguridad, gafas, guantes anticorte, protección auditiva.",Laceraciones Moderadas,Daño Moderado,2,Improbable,2,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,5,Izaje y colocación de Estructuras en troneras,Pozo,No Rutinario,Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,Cortes Menores,Probable,"CONTROL DE INGENIERÍA
-Estabilización de taludes, submurales o entibados según diseño técnico.
-Medio de izaje adecuado (Grúa/malacate) con capacidad suficiente, freno y control fino.
-Instalar Accesos seguros a la excavación (escaleras metálicas/ plataformas con peldaños antideslizantes).
-Control del balanceo (cuerdas guía para orientar la armadura) sin poner el cuerpo debajo
-Colocar protecciones de puntas y bordes
-Cunas/soportes en fondo para apoyar armadura sin manos debajo
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la Retroexcavadora
-Permiso de Trabajo Seguro aprobado por HS&B
-Capacitación sobre riesgos de izaje seguro, distancias de seguridad, uso de EPP
-Colocar un vigía.
-Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
-Comunicación clara con el conductor (Handy)
-Evitar superposición de tareas
EPP
Casco, Ropa de trabajo (al cuerpo y manga larga), Calzado de seguridad, gafas, guantes anticorte y chaleco reflectivo. Los equipos dentro de la tronera se encuentran sujetos por Arnés con cabo de vida y línea de vida que tiene su punto de anclaje por fuera de la tronera.",Cortes Menores,Daño Leve,1,Improbable,2,2,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,5,Izaje y colocación de Estructuras en troneras,Escalera,No Rutinario,Caída de Persona a Distinto Nivel,Fracturas Mayores,Probable,"CONTROL DE INGENIERÍA
-Estabilización de taludes, submurales o entibados según diseño técnico.
-Instalar barandas / vallado perimetral (mínimo 1m de altura) al borde de la tronera.
-Vías de circulación separadas para equipos y peatones.
-Medio de izaje adecuado (Grúa/malacate) con capacidad suficiente, freno y control fino.
-Instalar Accesos seguros a la excavación (escaleras metálicas/ plataformas con peldaños antideslizantes).
-Escalera anclada y sujeta (arriba y abajo)
-Ángulo correcto y extensión mínima 1 m por encima del punto de apoyo
CONTROL ADMINISTRATIVO
Permiso de trabajo en excavación/tronera con verificación de estabilidad de entibado y accesos.
-Capacitación constante al equipo (uso de escaleras, prevención de caídas y rescate básico en tronera)
-Usar bolso/cinturón porta-herramientas o izaje de herramientas aparte.
-Colocar un vigía.
-Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro. 
-Evitar la superposición de tareas
-Orden y limpieza permanente: retirar barro, recortes de hierro, alambres, separadores.
EPP
-Casco con mentonera, Ropa de trabajo, botas de seguridad, gafas, guantes de cuero y chaleco reflectante. Los equipos dentro del pozo se encuentran sujetos por Arnés con cabo de vida y línea de vida que tiene su punto de anclaje por fuera de la tronera.",Fracturas Mayores,Daño Muy Grave,4,Improbable,2,8,Riesgo Tolerable,Riesgo Tolerable,"Monitoreo y control para mantener el riesgo o impacto por lo menos en este nivel, sin perjuicio de que se puedan implementar medidas para reducirlos al nivel inferior."
Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,8,Apertura de troneras,Pozo,Rutinario,Atrapamiento por o Entre Objetos,Asfixia,Probable,"CONTROL DE INGENIERÍA
-Estabilización de taludes, submurales o entibados según diseño técnico.
-Sistema de drenaje o bombas de achique permanente.
-Plataformas de escape o escaleras fijas internas en caso de emergencia.
CONTROL ADMINISTRATIVO
-Clasificar la tronera como espacio confinado.
-Permiso de Trabajo Seguro aprobado por HS&B
-Supervisión técnica permanente de la estabilidad del terreno.
-Suspender tareas ante ingreso de agua o vibraciones anormales.
-Inspección diaria del entibado y de las bombas de achique.
-Capacitación sobre riesgos de excavación
-Colocar un vigía.
-Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
-Comunicación clara con el conductor (Handy)
-Monitoreo de condiciones climáticas (lluvia, viento).
EPP
-Casco, Ropa de trabajo Botas de seguridad, gafas, guantes, protección auditiva, respiratoria y chaleco reflectante. Los equipos dentro de la tronera se encuentran sujetos por Arnés con cabo de vida y línea de vida que tiene su punto de anclaje por fuera de la tronera.
",Asfixia,Daño Fatal,5,Improbable,2,10,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,8,Apertura de troneras,Máquina,Rutinario,Contacto con el Cuerpo,Muerte,Probable,"CONTROL DE INGENIERÍA
-Estabilización de taludes, submurales o entibados según diseño técnico.
-Superficie nivelada y compactada para evitar desplazamientos del equipo.
-Delimitar el área de trabajo con postes y barandas de seguridad en bordes de excavación.
-Alarma lumínica/sonora de la Retro Excavadora. 
-Señalización física del radio de giro de la máquina.
-Separación mínima de 2 m entre maquinaria y personal de apoyo. 
-Vías de circulación separadas para equipos y peatones.
CONTROL ADMINISTRATIVO
-Check list inicial y periódico de la máquina.
-Verificar certificación del operador
-Capacitación constante al equipo.
-Colocar un vigía.
-Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro. 
-Evitar la superposición de tareas.
-Colocar cartelería de seguridad
EPP
-Casco, Ropa de trabajo, Calzado de seguridad, gafas, guantes, protección auditiva, respiratoria y chaleco reflectante.",Muerte,Daño Fatal,5,Improbable,2,10,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
Acnlajes y Submuración de Subsuelo - 9 Durante todas las tareas de este proceso (Radiación UV),Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,9,Durante todas las tareas de este proceso (Radiación UV),Enfermedades causadas por exposición a temperaturas extremas,Rutinario,Contácto Térmico,Deshidratación,Probable,"CONTROL DE INGENIERÍA
-Toldos/lonas (UV50) en áreas de tareas prolongadas sin movilidad.
-Estructuras móviles de sombra (gazebos, paneles)
-Puestos de hidratación cerca (agua fresca/sales)
-Ventiladores portátiles
-Rotación de tareas hacia áreas sombreadas/techadas
CONTROL ADMINISTRATIVO
-Organizar tareas al aire libre fuera de picos de temperatura (10.30-16.30 Hs)
-Rotación de personal
-Procedimiento de prevención ante exposición UV dentro del PTS.
-Capacitación sobre riesgos de exposición UV, uso correcto de protector solar.
EPP
Casco con protector de nuca, Ropa de trabajo (al cuerpo), Calzado de seguridad, gafas UV400, guantes, protección auditiva y chaleco reflectante. 
Protector solar FPS 50 o superior, resistente al agua y sudor.
Hidratación personal (botella individual con agua fresca)",Deshidratación,Daño Moderado,2,Improbable,2,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Acnlajes y Submuración de Subsuelo - 10 Durante todas las tareas de este proceso (Derrumbe),Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,10,Durante todas las tareas de este proceso (Derrumbe),Pozo,Emergencia,Atrapamiento por o Entre Objetos,Muerte,Probable,"CONTROL DE INGENIERÍA
-Apuntalamiento de emergencia: Riostras cruzadas (plano vertical). Cuñas de refuerzo para absorber presión. 
-Tablestacado de emergencia contra la pared colapsada.
-Refuerzo del borde superior: Limpieza (eliminar peso muerto).
-Control estructural del área: (cintas, vallas metálicas, barreras físicas rígidas). 
-Monitoreo visual continuo del terreno (ruido de deslizamiento, movimiento, ingreso de agua).
-Sistema de drenaje inmediato (siempre que las condiciones eléctricas sean seguras)
-Soga estática de rescate con puntos de anclaje estructurales.
-Retiro manual y progresivo del material con palas cortas, cucharas. (desde arriba hacia abajo).
-Prohibido usar maquinaria encima de la excavación durante el retiro (riesgo de segundo derrumbe).
 CONTROL ADMINISTRATIVO
-Activar Plan de Respuesta ante Emergencias: Suspensión inmediata de la excavación y actividades cercanas. 
-Designación del Jefe de Emergencia (encargado o HS&B).
-Comunicaciones: Contacto inmediato con SAME o ART
-Evacuación total, excepto rescatistas autorizados.
-Bloqueo y señalización de la zona
-Corte de energía eléctrica que alimente bombas, tableros o herramientas.
-Organización de roles de Equipo: Jefe de emergencia, Equipo de Rescate en excavación profunda, Vigía en superficie, Primeros auxilios, Encargado de apuntalamiento.
-Simulacro trimestral obligatorio (Todos entrenados previamente)
-Ingreso solo con apuntalamiento previo.
-Prohibido ingreso de personal no entrenado.
-Prohibido mover a la víctima si existe riesgo de segundo colapso.
-Registros y documentación: Bitácora del incidente. Testigos.
EPP
(Protege sólo al equipo de rescate y trabajadores expuestos)
-Casco con mentonera, Ropa de trabajo, Botas de seguridad, gafas, guantes anticorte y guantes de rescate, protección respiratoria. Equipo de respiración autónoma (ERA) en troneras profundas; sujetos por Arnés rescate tipo “Y” (extracción vertical) + línea de vida estática.
Accesorios de Rescate: Camilla canasto o tabla espinal (extracción vertical).",Muerte,Daño Fatal,5,Improbable,2,10,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
Acnlajes y Submuración de Subsuelo - 11 Durante todas las tareas de este proceso (Incendio),Equipo de construcción Armadores de hormigón,Acnlajes y Submuración de Subsuelo,11,Durante todas las tareas de este proceso (Incendio),Instalación con energía eléctrica,Emergencia,Incendio ,Quemaduras Mayores,Probable,"CONTROL DE INGENIERÍA
-Extintores adecuados y accesibles: ABC (general) y CO₂ o BC para tableros/eléctrico y líquidos inflamables.
-Interruptor general identificado y accesible (llave de corte)
-Señalética visible: “Salida”, “Extintor”, “Corte eléctrico”.
-Vías de evacuación seguras Escaleras fijas/ancladas + plataformas de desembarco; pasillos libres.
CONTROL ADMINISTRATIVO
-Plan de emergencia por incendio (procedimiento escrito)
Activación de alarma, evacuación, roles, corte de energía, uso de extintores, llamada a Bomberos/SAME/ART.
-Roles asignados (Jefe de emergencia, brigadistas contra incendio, responsable de corte eléctrico, de evacuación, vigía)
-Permiso de “Trabajo en caliente” (soldadura/corte/amolado)
-Simulacros periódicos (sin frecuencia legal fija) Registrar según el plan del establecimiento y riesgo de obra.
-Capacitación obligatoria: Uso de extintores, tipos de fuego (A/B/C), evacuación en excavación/tronera.
-Inspecciones y check lists (Extintores, Tableros/cables, combustibles: almacenamiento)
-Control de acceso y evacuación (Punto de reunión, conteo de personal, lista de contratistas)
-Comunicación y Números visibles: Bomberos, SAME, ART, responsable de obra. Radio/canal de emergencia.
-Gestión de residuos inflamables (Trapos con solventes, envases, etc.)
EPP
-Casco con mentonera, Ropa de trabajo, calzado de seguridad, gafas, guantes.

Para brigadistas / ataque inicial:
Guantes resistentes al calor (o guantes de cuero de buena calidad).
Protección ocular (gafas) o pantalla facial.
Ropa de manga larga (preferible algodón/retardante).
Protección respiratoria: máscara con filtro para humo/partículas solo si está definida y entrenada; si hay humo denso o atmósfera peligrosa: NO ingresar sin equipo autónomo (eso es de Bomberos).

Si hay incendio eléctrico
Guantes dieléctricos (si está contemplado para maniobra de corte y el personal está entrenado).
Herramientas aisladas (si aplica).

Protección respiratoria. Equipo de respiración autónoma (ERA) en troneras profundas; sujetos por Arnés rescate tipo “Y” (extracción vertical) + línea de vida estática.
",Quemaduras Mayores,Daño Grave,3,Improbable,2,6,Riesgo Tolerable,Riesgo Tolerable,"Monitoreo y control para mantener el riesgo o impacto por lo menos en este nivel, sin perjuicio de que se puedan implementar medidas para reducirlos al nivel inferior."
Construcción de Columnas - 1 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Equipo de construcción Armadores de hormigón,Construcción de Columnas,1,Preparación de armadura (Corte y Doblado de Varillas de Hierro),Máquina,Rutinario,Contacto Eléctrico Directo,Muerte,Probable,"CONTROL DE INGENIERÍA
- Señalización y delimitación del área de trabajo.
- Instalación adecuada de las máquinas con protecciones y tarimas evitando el contacto con agua.
- Tendido de cables eléctricos a 2 m de altura.
- Conexión de puesta a tierra certificada.
- Instalación de mesa de trabajo estable y adecuada.
- Disponibilidad de extintor ABC de 10 kg en el área de trabajo.
CONTROL ADMINISTRATIVO
- Check list de tableros eléctricos portátiles o provisorios (disyuntores y térmicas).
- Check list de Máquinas eléctricas (Dobladora y Cortadora)
- Aplicación de Procedimientos de Trabajo Seguro.
- Capacitación en el uso seguro de máquinas eléctricas.
- Asignar un vigía 
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Chaleco reflectante.",Muerte,Daño Fatal,5,Moderada,3,15,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Columnas - 1 Preparación de armadura (Corte de Varillas de Hierro),Equipo de construcción Armadores de hormigón,Construcción de Columnas,1,Preparación de armadura (Corte de Varillas de Hierro),Máquina,Rutinario,Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,Amputaciones,Probable,"CONTROL DE INGENIERÍA
- Instalación de mesa de trabajo estable y adecuada para la operación.
- Botón de parada de emergencia (E-Stop) accesible
- Tendido de cables eléctricos a 2 m de altura.
- Disponibilidad de extintor ABC de 10 kg en el área de trabajo.
- Señalización y delimitación del área de trabajo.
CONTROL ADMINISTRATIVO
- Check list inicial y periódico de la cortadora de varillas de hierro (protecciones y partes móviles).
- Asignar un vigía para cada frente de trabajo.
- Procedimiento de Trabajo Seguro (PTS): Secuencia
- Verificar certificación del operador.
- Capacitación en Trabajos de Cortes con máquina eléctrica
- Recolección de recortes/rebabas en contenedor metálico.
- Orden y Limpieza
- Señalización: “Equipo en operación / Proyección de partículas”
EPP
- Casco (si aplica)
- Ropa de trabajo ajustada
- Calzado de seguridad
- Gafas/protección facial
- Protección auditiva
- Guantes anticorte
- Chaleco reflectante.",Amputaciones,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Columnas - 1 Preparación de armadura (Doblado de Varillas de Hierro),Equipo de construcción Armadores de hormigón,Construcción de Columnas,1,Preparación de armadura (Doblado de Varillas de Hierro),Máquina,Rutinario,Atrapamiento por o Entre Objetos,Fracturas Mayores,Probable,"CONTROL DE INGENIERÍA
- Instalación de mesa de trabajo estable y adecuada para la operación.
- Limitadores/guías que contengan la varilla durante el doblado
- Racks porta-varillas y recortes en contenedor metálico.
- Parada de emergencia (E-Stop) accesible y probado
- Disponibilidad de extintor ABC de 10 kg en el área de trabajo.
CONTROL ADMINISTRATIVO
- Check list inicial y periódico de la dobladora de varillas de hierro (protecciones, partes móviles y comandos).
- Verificar certificación del operador.
- Procedimiento de Trabajo Seguro (PTS) para doblado: Secuencia
- Asignar un vigía para cada frente de trabajo.
- Orden y limpieza
- Capacitación y supervisión en Trabajos de Doblado con máquina eléctrica
EPP
- Casco
- Ropa de trabajo ajustada
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Protección auditiva
- Chaleco reflectante.",Fracturas Mayores,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,Equipo de construcción Armadores de hormigón,Construcción de Columnas,2,Manipulación e Izaje de varillas de Hierro,Fuerza,Rutinario,Sobresfuerzos,Contractura Muscular,Probable,"CONTROL DE INGENIERÍA
- Sustituir izaje manual; Uso de medios mecánicos siempre que sea posible.
- Eslingas o agarraderas manuales (manijas) para mejorar control y reducir cortes.
- Paquetes de varillas prearmados y atados para evitar apertura o deslizamiento
- Zona de exclusión inferior (nadie debajo del izaje manual)
- Orden y limpieza (retirar restos de madera, clavos, cables). Mantener libre de obstáculos
- Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
CONTROL ADMINISTRATIVO
- Permiso de trabajo en altura aprobado por HS&B cuando corresponda
- Asignar un supervisor en el frente de trabajo.
- Evitar la superposición de tareas.
- Trabajo en cuadrilla coordinada: levantar en simultáneo, sin tirones
- Rotación de tareas y pausas para evitar fatiga acumulada
- No superar cargas manuales recomendadas
- Capacitación en riesgos de caída en altura y supervisión en procedimientos de trabajo seguros para el manejo de hierros e izaje correctos.
EPP
- Casco con mentonera.
- Ropa de trabajo.
- Calzado de seguridad.
- Gafas de seguridad.
- Guantes adecuados.
- Chaleco reflectante.
- Los equipos sobre plataformas/andamios se encuentran sujetos por Arnés con cabo de vida y línea de vida que tiene su punto de anclaje (certificado) en estructura fija.",Contractura Muscular,Daño Leve,1,Probable,4,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
