IPERC - ID,Sectores de Trabajo (Master Component),Process ES,Task Number,Task Description,Dangers (L3),Condición de Peligro,Risks (L3),Initial Consequence (L3),Initial Probability (L3),Measures Control (Unficate),Final Consequence (L3),Clasifications Consequence (L3),Q Final Consequence (L3),Final Probability (L3),Cantidad Referencia (from Final Probability (L3)),FRL Valoration,FRL Clasification,IRL Clasification (L1),IRL Description Clasification (L1)
Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,4,Mezcla en Hormigonera,Máquina,,Contacto Eléctrico Directo,Muerte,Probable,"CONTROL DE INGENIERÍA
- Señalización del área de trabajo.
- Instalación adecuada de la hormigonera con protecciones y tarimas contra el ingreso de agua.
- Tendido de cables eléctricos a 2 m de altura.
- Conexión de puesta a tierra certificada.
- Disponibilidad de extintor ABC de 10 kg en el área de trabajo.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Check list de tableros eléctricos portátiles o fijos (disyuntores y térmicas).
- Capacitación en el uso seguro de máquinas eléctricas.
- Aplicación de procedimientos de trabajo seguro.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Chaleco reflectante
",Muerte,Daño Fatal,5,Probable,4,20,Riesgo Intolerable,Riesgo Intolerable,Prohibición de Tareas. Se encuentra prohibida en su totalidad la operación en esta condición y se deben realizar en forma inmediata acciones para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,4,Mezcla en Hormigonera,Máquina,,Atrapamiento por o Entre Objetos,Fracturas Mayores,Moderada,"CONTROL DE INGENIERÍA
- Colocación de la hormigonera sobre superficie estable y nivelada para evitar vuelcos o movimientos inesperados.
- Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
CONTROL ADMINISTRATIVO
- Asignar un vigía para cada frente de trabajo.
- Check list inicial y periódico de la hormigonera (protecciones, partes móviles y comandos).
- Mantener orden y limpieza en el área de trabajo.
- Evitar la superposición de tareas.
- Capacitación y supervisión en procedimientos de trabajo seguros para el uso de la hormigonera.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Chaleco reflectante
",Fracturas Mayores,Daño Muy Grave,4,Moderada,3,12,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
Construcción de Muro de Mampostería - 5 Corte de ladrillos,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,5,Corte de ladrillos,Máquina,,Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,Amputaciones,Probable,"CONTROL DE INGENIERÍA
- Señalización del área de trabajo.
- Instalación de mesa de trabajo estable y adecuada para la operación.
- Disponibilidad de extintor ABC de 10 kg en el área de trabajo.
CONTROL ADMINISTRATIVO
- Asignar un vigía para cada frente de trabajo.
- Check list inicial y periódico de la amoladora.
- Verificar certificación del operador.
- Capacitación y supervisión en procedimientos de trabajo seguro para el corte de ladrillos comunes.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Protección auditiva
- Chaleco reflectante
",Amputaciones,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 6 Corte de Varillas de Hierro,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,6,Corte de Varillas de Hierro,Máquina,,Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,Amputaciones,Probable,"CONTROL DE INGENIERÍA
- Instalación de mesa de trabajo estable y adecuada para la operación.
CONTROL ADMINISTRATIVO
- Asignar un vigía para cada frente de trabajo.
- Check list inicial y periódico de la amoladora.
- Verificar certificación del operador.
- Capacitación y supervisión en procedimientos de trabajo seguro para el corte de varillas de hierro.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Protección auditiva
- Chaleco reflectante
",Amputaciones,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,7,Colocación de ladrillos,Andamio,,Caída de Persona a Distinto Nivel,Muerte,Probable,"CONTROL DE INGENIERÍA
- Sistema de anclaje con arnés y línea de vida, con punto de anclaje por encima del andamio; en caso de no ser posible, arriostramiento estable del andamio y colocación de barandillas.
- Delimitación del área de trabajo.
CONTROL ADMINISTRATIVO
- Asignar un supervisor en el frente de trabajo.
- Check list del andamio (verificación de medidas de seguridad).
- Check list de arnés de seguridad.
- Capacitación sobre los riesgos asociados a trabajos en altura.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Chaleco reflectante
- Arnés de seguridad con línea de vida
",Muerte,Daño Fatal,5,Probable,4,20,Riesgo Intolerable,Riesgo Intolerable,Prohibición de Tareas. Se encuentra prohibida en su totalidad la operación en esta condición y se deben realizar en forma inmediata acciones para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,7,Colocación de ladrillos,Andamio,,Caída de Objetos por Desplome o Derrumbamiento,Contusiones,Probable,"CONTROL DE INGENIERÍA
- Delimitación del área de trabajo y circulación.
- Colocación de rodapiés en andamios para evitar la caída de materiales y herramientas (ladrillos, baldes de mezcla, cucharas, etc.).
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Capacitación sobre los riesgos asociados a trabajos en altura.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Mascarilla
- Chaleco reflectante
",Contusiones,Daño Moderado,2,Probable,4,8,Riesgo Tolerable,Riesgo Tolerable,"Monitoreo y control para mantener el riesgo o impacto por lo menos en este nivel, sin perjuicio de que se puedan implementar medidas para reducirlos al nivel inferior."
Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,8,Durante las tareas anteriores,Enfermedades causadas por exposición a temperaturas extremas,,Contácto Térmico,Malestar Temporal,Probable,"CONTROLES DE INGENIERÍA
- Instalar estructuras temporales como toldos, sombrillas en las zonas de trabajo donde los trabajadores están más expuestos al sol.
- Colocar barreras solares fijas (cortinas o paneles).
- Colocar estaciones de agua y bebidas isotónicas cerca de las zonas de trabajo.
CONTROLES ADMINISTRATIVOS
- Programar tareas en horas de menor temperatura, rotación y descansos programados.
- Reubicación de tareas a áreas techadas o cerradas.
- Señalización del lugar de trabajo: Colocar carteles de advertencia en las áreas expuestas al sol
- Utilizar materiales de pavimentación o recubrimientos de pintura reflectante, baldosas o pisos reflectantes
- Utilizar medidores de Radiación portátiles UV, sensores de radiación UV o dispositivos de monitoreo ambiental
- Capacitación en estrés térmico: Riesgos UV, efectos de la exposición solar (cáncer de piel, envejecimiento prematuro, daño ocular), síntomas del agotamiento por calor (fatiga, mareos, piel enrojecida, náuseas), y cómo actuar en caso de emergencias. Hidratación constante.
EPP
- Usar casco, cubrenucas, ropa de trabajo (manga larga), calzado de seguridad, gafas de seguridad (con lentes que filtren el 100% de los rayos UVA y UVB), guantes de material protector UV, 
Protector solar con un factor de protección solar (FPS) de 30 o más.",Malestar Temporal,Daño Leve,1,Probable,4,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,8,Durante las tareas anteriores,Enfermedades causadas por exposición a temperaturas extremas,,Exposición a Temperaturas Ambientales Extremas Periódica,Cancer Ocupacional,Probable,"CONTROLES DE INGENIERÍA
- Instalar estructuras temporales como toldos, sombrillas en las zonas de trabajo donde los trabajadores están más expuestos al sol.
- Colocar barreras solares fijas (cortinas o paneles).
- Colocar estaciones de agua y bebidas isotónicas cerca de las zonas de trabajo.
CONTROLES ADMINISTRATIVOS
- Programar tareas en horas de menor temperatura, rotación y descansos programados.
- Reubicación de tareas a áreas techadas o cerradas.
- Señalización del lugar de trabajo: Colocar carteles de advertencia en las áreas expuestas al sol
- Utilizar materiales de pavimentación o recubrimientos de pintura reflectante, baldosas o pisos reflectantes
- Utilizar medidores de Radiación portátiles UV, sensores de radiación UV o dispositivos de monitoreo ambiental
- Capacitación en estrés térmico: Riesgos UV, efectos de la exposición solar (cáncer de piel, envejecimiento prematuro, daño ocular), síntomas del agotamiento por calor (fatiga, mareos, piel enrojecida, náuseas), y cómo actuar en caso de emergencias.
EPP
- Usar casco, cubrenucas, ropa de trabajo (manga larga), calzado de seguridad, gafas de seguridad (con lentes que filtren el 100% de los rayos UVA y UVB), guantes de material protector UV, 
Protector solar con un factor de protección solar (FPS) de 30 o más.",Cancer Ocupacional,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Hidrófugo en bases - 1 Preparación del Hidrófugo,Equipo de construcción Albañilería,Hidrófugo en bases,1,Preparación del Hidrófugo,Agentes químicos en el trabajo no mencionados en los   puntos anteriores,,Contacto con el Cuerpo,Cancer Ocupacional,Probable,"CONTROL DE INGENIERÍA
- Instalación de depósito para sustancias peligrosas.
- Trabajo en áreas ventiladas o instalación de sistema de ventilación.
CONTROL ADMINISTRATIVO
- Verificar ficha técnica de seguridad del hidrófugo.
- Señalizar el área de trabajo.
- Mantener orden y limpieza en el área de trabajo.
- Capacitación sobre uso adecuado y almacenamiento del hidrófugo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Guantes de nitrilo
- Antiparras de seguridad
- Semi-máscara o máscara con filtro para hidrocarburos
- Chaleco reflectante
",Cancer Ocupacional,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Equipo de construcción Albañilería,Hidrófugo en bases,2,Aplicación del Hidrófugo ,Agentes químicos en el trabajo no mencionados en los   puntos anteriores,,Contacto con el Cuerpo,Cancer Ocupacional,Moderada,"CONTROL DE INGENIERÍA
- Instalación de depósito para sustancias peligrosas.
CONTROL ADMINISTRATIVO
- Verificar ficha técnica de seguridad del hidrófugo.
- Colocar vigía.
- Señalizar el área de trabajo.
- Mantener orden y limpieza en el área de trabajo.
- Capacitación sobre el uso adecuado del hidrófugo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Guantes de nitrilo
- Chaleco reflectante
",Cancer Ocupacional,Daño Muy Grave,4,Moderada,3,12,Riesgo Moderado,Riesgo Moderado,"Monitoreo y control reforzado para garantizar que el riesgo o impacto no aumente. Se pueden requerir medidas adicionales de prevención, capacitación específica y, en ciertos casos, permisos de trabajo, sin perjuicio de implementar acciones para reducirlo."
