IPERC - Library ID,Title,Cantidad Referencia,Level,IPERC - L2,IPERC- L1,Descrpción,IPERC - L2 (No eliminar),IPERC- L1 (No eliminar),IPERC - Matrix (Peligros),IPERC - Matrix 4 (Riesgos),IPERC - Matrix (Consecuencias),IPERC - Matrix (Probabilidad),IPERC - Matrix (Nivel de Riesgo),IPERC - Matrix (Consecuencias) copy,IPERC - Matrix (Probabilidad) copy
Andamio,Andamio,,L3,Factor Mecánico,Peligros,,,,"Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Fundaciones - 5 Colocación de Armadura,Trabajos con Tensión - 1 Canalizaciones,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte superior)",,,,,,
Equipos,Equipos,,L3,Factor Mecánico,Peligros,,,,"""Excavación de Subsuelo mayor a 1,50 m - 3 Acopio y retiro de material excavado con camión"",Construcción de Fundaciones- Bases aisladas - 2 Acopio y retiro de material excavado con camión,Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de Columnas - 6 Carga de Hormigón,Montaje de Paneles y aberturas de Vidrio - 2 Posicionamiento camión (transporte de paneles de vidrio),Montaje de Paneles y aberturas de Vidrio - 3 Preparación de la hidrogrúa para Izaje,Montaje de Paneles y aberturas de Vidrio - 4 Sujeción de paneles de vidrio con ventosas",,,,,,
Proyección de partícula,Proyección de partícula,,L3,Factor Mecánico,Peligros,,,,"Acnlajes y Submuración de Subsuelo - 7 Ejecución de Anclajes – Tracción y colocación de la placa de apoyo (tensado), - 1 Armado de Tirantes de madera para Defensas",,,,,,
Elemento cortante,Elemento cortante,,L3,Factor Mecánico,Peligros,,,,"Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas en Altura - 5 Colocación de armadura,Construcción de Columnas - 3 Colocación de Armadura y Separadores",,,,,,
Máquina,Máquina,,L3,Factor Mecánico,Peligros,,,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Construcción de Columnas de Hormigón Armado - 1 Corte y Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 1  Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 1 Corte de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 4 Carga de Hormigón,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte y Doblado de Hierros),Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte de Hierros),Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Doblado de Hierros),Construcción de Losas con Viguetas Pretensadas - 5 Carga de Hormigón,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Construcción de Muro de Mampostería - 5 Corte de ladrillos,Construcción de Muro de Mampostería - 6 Corte de Varillas de Hierro,Construcción de Piscinas - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,Fundaciones - 3 Preparación de Armadura,Fundaciones - 3 Preparación de Armadura,Fundaciones - 3 Preparación de Armadura,Fundaciones - 4 Preparación de Armadura,Fundaciones - 6 Carga de Hormigón,Fundaciones - 6 Carga de Hormigón,Hidrófugo en bases - 3 Agregado del Hidrófugo,Hidrófugo en bases - 3 Agregado del Hidrófugo,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 4 Canalizaciones con Amoladora eléctrica,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 1 Colocación de capas de relleno,Relleno Compactación de Bases - 2 Distribución/Nivelación con Excavadora,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Acnlajes y Submuración de Subsuelo - 6 Gunitado,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora y Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora de Varillas),Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 6 Gunitado,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 1 Excavación y Nivelación de Terreno (Espesor de losa),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 3 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 3 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas en Altura - 3 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de losas en Altura - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de Columnas - 1 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de Columnas - 1 Preparación de armadura (Corte de Varillas de Hierro),Construcción de Columnas - 1 Preparación de armadura (Doblado de Varillas de Hierro),Construcción de Columnas - 4 Armado de Encofrado ,Construcción de Columnas - 6 Carga de Hormigón, - 4 Pintura de Fenólicos, - 4 Pintura de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 1 Armado de Tirantes de madera para Defensas,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte inferior)",,,,,,
Objeto móvil,Objeto móvil,,L3,Factor Mecánico,Peligros,,,,,,,,,,
Carga Suspendida,Carga Suspendida,,L3,Factor Mecánico,Peligros,,,,,,,,,,
Superficie Caliente,Superficie Caliente,,L3,Factor Mecánico,Peligros,,,,,,,,,,
Objeto Punzante,Objeto Punzante,,L3,Factor Mecánico,Peligros,,,,,,,,,,
Trabajo sobre cuerpo de agua,Trabajo sobre cuerpo de agua,,L3,Factor Mecánico,Peligros,,,,,,,,,,
Parte Expuesta de Máquina en Movimiento,Parte Expuesta de Máquina en Movimiento,,L3,Factor Mecánico,Peligros,,,,"Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de Columnas - 4 Armado de Encofrado, - 6 Cierres y terminaciones de Defensas",,,,,,
Atropello,Atropello,,L3,Factor Mecánico,Peligros,,,,,,,,,,
Malas Relaciones Interpersonales,Malas Relaciones Interpersonales,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Falta de Apoyo,Falta de Apoyo,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Monotonía,Monotonía,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Jornada de Trabajo,Jornada de Trabajo,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Superposición de tareas en el lugar de trabajo,Superposición de tareas en el lugar de trabajo,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Trabajo Bajo Presión,Trabajo Bajo Presión,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Apremio de tiempo,Apremio de tiempo,,L3,Factor Psicosocial,Peligros,,,,Hidrófugo en bases - 4 Jornada de Trabajo,,,,,,
Conflicto de Roles,Conflicto de Roles,,L3,Factor Psicosocial,Peligros,,,,,,,,,,
Humo,Humo,,L3,Factor Químico,Peligros,,,,,,,,,,
Manganeso o sus compuestos,Manganeso o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
"Productos químicos, de los que no se valora o conoce su peligrosidad","Productos químicos, de los que no se valora o conoce su peligrosidad",,L3,Factor Químico,Peligros,,,,,,,,,,
Vapor,Vapor,,L3,Factor Químico,Peligros,,,,,,,,,,
Benceno o sus homólogos,Benceno o sus homólogos,,L3,Factor Químico,Peligros,,,,,,,,,,
Plomo o sus compuestos,Plomo o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Arsénico o sus compuestos,Arsénico o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Flúor o sus compuestos,Flúor o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Berilio o sus compuestos,Berilio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Ácidos minerales,Ácidos minerales,,L3,Factor Químico,Peligros,,,,,,,,,,
Nitroglicerina u otros ésteres del ácido nítrico,Nitroglicerina u otros ésteres del ácido nítrico,,L3,Factor Químico,Peligros,,,,,,,,,,
"Alcoholes, glicoles o cetonas","Alcoholes, glicoles o cetonas",,L3,Factor Químico,Peligros,,,,Instalación Cloacal y Pluvial - 3 Unión de cañerías,,,,,,
Sustancias irritantes de la córnea como benzoquinona,Sustancias irritantes de la córnea como benzoquinona,,L3,Factor Químico,Peligros,,,,,,,,,,
Níquel o sus compuestos,Níquel o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Narcotizante,Sustancia Narcotizante,,L3,Factor Químico,Peligros,,,,,,,,,,
Acrilonitrilo,Acrilonitrilo,,L3,Factor Químico,Peligros,,,,,,,,,,
Plaguicidas,Plaguicidas,,L3,Factor Químico,Peligros,,,,,,,,,,
 Platino o sus compuestos, Platino o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Fosgeno,Fosgeno,,L3,Factor Químico,Peligros,,,,,,,,,,
Zinc o sus compuestos,Zinc o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Cadmio o sus compuestos,Cadmio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Disolventes orgánicos,Disolventes orgánicos,,L3,Factor Químico,Peligros,,,,,,,,,,
Látex o productos que contienen látex,Látex o productos que contienen látex,,L3,Factor Químico,Peligros,,,,,,,,,,
Niebla,Niebla,,L3,Factor Químico,Peligros,,,,,,,,,,
Óxidos de azufre,Óxidos de azufre,,L3,Factor Químico,Peligros,,,,,,,,,,
Fósforo o sus compuestos,Fósforo o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Disulfuro de carbono,Disulfuro de carbono,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Carcinogérnica,Sustancia Carcinogérnica,,L3,Factor Químico,Peligros,,,,,,,,,,
Cloro,Cloro,,L3,Factor Químico,Peligros,,,,,,,,,,
Hexano,Hexano,,L3,Factor Químico,Peligros,,,,,,,,,,
Gas,Gas,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Venenosa,Sustancia Venenosa,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Tóxica,Sustancia Tóxica,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Irritante o Alergizante,Sustancia Irritante o Alergizante,,L3,Factor Químico,Peligros,,,,Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua),,,,,,
Cobre o sus compuestos,Cobre o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Amoniaco,Amoniaco,,L3,Factor Químico,Peligros,,,,,,,,,,
Aerosol,Aerosol,,L3,Factor Químico,Peligros,,,,,,,,,,
Derivados halogenados de los hidrocarburos alifáticos o   aromáticos,Derivados halogenados de los hidrocarburos alifáticos o   aromáticos,,L3,Factor Químico,Peligros,,,,,,,,,,
Óxidos de nitrógeno,Óxidos de nitrógeno,,L3,Factor Químico,Peligros,,,,,,,,,,
Antimonio o sus compuestos,Antimonio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
"Sustancias asfixiantes como monóxido de carbono, sulfuro de   hidrógeno, cianuro de hidrógeno o sus derivados ","Sustancias asfixiantes como monóxido de carbono, sulfuro de   hidrógeno, cianuro de hidrógeno o sus derivados ",,L3,Factor Químico,Peligros,,,,,,,,,,
Talio o sus compuestos,Talio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Asfixiante ,Sustancia Asfixiante ,,L3,Factor Químico,Peligros,,,,,,,,,,
Estaño o sus compuestos,Estaño o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Selenio o sus compuestos,Selenio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Agentes químicos en el trabajo no mencionados en los   puntos anteriores,Agentes químicos en el trabajo no mencionados en los   puntos anteriores,,L3,Factor Químico,Peligros,,,,"Revoque Proyectado con Bomba Mezcladora - 3 Preparación de la Mezcla,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Hidrófugo en bases - 1 Preparación del Hidrófugo,Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Hidrófugo en bases - 2 Aplicación del Hidrófugo ",,,,,,
Derivados nitrados y amínicos del benceno o de sus homólogos,Derivados nitrados y amínicos del benceno o de sus homólogos,,L3,Factor Químico,Peligros,,,,,,,,,,
Mercurio o sus compuestos,Mercurio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Vanadio o sus compuestos,Vanadio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Cromo o sus compuestos,Cromo o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Agentes farmacéuticos,Agentes farmacéuticos,,L3,Factor Químico,Peligros,,,,,,,,,,
Sustancia Corrosiva,Sustancia Corrosiva,,L3,Factor Químico,Peligros,,,,,,,,,,
Osmio o sus compuestos,Osmio o sus compuestos,,L3,Factor Químico,Peligros,,,,,,,,,,
Isocianatos,Isocianatos,,L3,Factor Químico,Peligros,,,,,,,,,,
Fibra,Fibra,,L3,Factor Químico,Peligros,,,,,,,,,,
Muy Probable,Muy Probable,"5,0",L3,Probabilidad,Probabilidad,,,,,,,"Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Amarre de Hierros),Excavación menor a 1.50 m - 2 Perfilado de excavación,Fundaciones - 3 Preparación de Armadura,Fundaciones - 4 Preparación de Armadura,Instalación Cloacal y Pluvial - 1 Zanjeo manual,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie",,,"Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Amarre de Hierros),Excavación menor a 1.50 m - 2 Perfilado de excavación,Fundaciones - 3 Preparación de Armadura,Fundaciones - 4 Preparación de Armadura,Instalación Cloacal y Pluvial - 1 Zanjeo manual,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie"
Muy Improbable,Muy Improbable,"1,0",L3,Probabilidad,Probabilidad,,,,,,,,,,Acnlajes y Submuración de Subsuelo - 3 Colocación de Anclajes
Improbable,Improbable,"2,0",L3,Probabilidad,Probabilidad,,,,,,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 2 Traslado de materiales,Revoque Proyectado con Bomba Mezcladora - 2 Traslado de materiales,Revoque Proyectado con Bomba Mezcladora - 3 Preparación de la Mezcla,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Relleno Compactación de Bases - 4 Durante las tareas anteriores",,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 2 Traslado de materiales,Revoque Proyectado con Bomba Mezcladora - 2 Traslado de materiales,Revoque Proyectado con Bomba Mezcladora - 3 Preparación de la Mezcla,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Relleno Compactación de Bases - 4 Durante las tareas anteriores,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 3 Acopio y retiro de material excavado con camión"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales"",""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales"",""Excavación de Subsuelo mayor a 1,50 m - 6 Entibado/Tablestacado "",""Excavación de Subsuelo mayor a 1,50 m - 7 Durante todas las tareas de este proceso (Radiación UV)"",Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora y Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora de Varillas),Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua),Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia,Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 7 Ejecución de Anclajes – Tracción y colocación de la placa de apoyo (tensado),Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Acnlajes y Submuración de Subsuelo - 9 Durante todas las tareas de este proceso (Radiación UV),Acnlajes y Submuración de Subsuelo - 10 Durante todas las tareas de este proceso (Derrumbe),Acnlajes y Submuración de Subsuelo - 6 Gunitado,Acnlajes y Submuración de Subsuelo - 6 Gunitado,Acnlajes y Submuración de Subsuelo - 11 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 2 Acopio y retiro de material excavado con camión,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 7 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas de subsuelo - 2 Perfilado de Terreno (Espesor de losa),Construcción de losas de subsuelo - 2 Perfilado de Terreno (Espesor de losa),Construcción de losas de subsuelo - 6 Durante todas las tareas de este proceso (Radiación UV)"
Moderada,Moderada,"3,0",L3,Probabilidad,Probabilidad,,,,,,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Construcción de Columnas de Hormigón Armado - 1 Corte y Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte y Doblado de Hierros),Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Excavación menor a 1.50 m - 1 Remoción de Tierra,Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 3 Compactación de Superficie,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 3 Terminaciones de Puntos,""Excavación de Subsuelo mayor a 1,50 m - 7 Durante todas las tareas de este proceso (Radiación UV)"",Construcción de Fundaciones- Bases aisladas - 7 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas en Altura - 8 Durante todas las tareas de este proceso (Radiación UV)",,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Construcción de Columnas de Hormigón Armado - 1 Corte y Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte y Doblado de Hierros),Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Excavación menor a 1.50 m - 1 Remoción de Tierra,Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 3 Compactación de Superficie,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 3 Terminaciones de Puntos,""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 8 Durante todas las tareas de este proceso (Derrumbe)"",Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 8 Durante todas las tareas de este proceso (Derrumbe),Construcción de Fundaciones- Bases aisladas - 9 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 1 Excavación y Nivelación de Terreno (Espesor de losa),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas de subsuelo - 7 Durante todas las tareas de este proceso (Incendio),Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 3 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas en Altura - 3 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de losas en Altura - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,Construcción de losas en Altura - 8 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa,Construcción de Columnas - 1 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de Columnas - 4 Armado de Encofrado ,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",Construcción de Columnas - 6 Carga de Hormigón,Construcción de Columnas - 8 Durante todas las tareas de este proceso (Incendio), - 7 Durante todas las tareas de este proceso (Radiación UV), - 3 Instalación de Tirantes de Defensas, - 3 Traslado e Izaje de Tirantes de Defensas, - 4 Pintura de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 1 Armado de Tirantes de madera para Defensas,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte inferior),Montaje de Paneles y aberturas de Vidrio - 2 Posicionamiento camión (transporte de paneles de vidrio),Montaje de Paneles y aberturas de Vidrio - 3 Preparación de la hidrogrúa para Izaje,Montaje de Paneles y aberturas de Vidrio - 4 Sujeción de paneles de vidrio con ventosas"
