IPERC - Library ID,Title,Cantidad Referencia,Level,IPERC - L2,IPERC- L1,Descrpción,IPERC - L2 (No eliminar),IPERC- L1 (No eliminar),IPERC - Matrix (Peligros),IPERC - Matrix 4 (Riesgos),IPERC - Matrix (Consecuencias),IPERC - Matrix (Probabilidad),IPERC - Matrix (Nivel de Riesgo),IPERC - Matrix (Consecuencias) copy,IPERC - Matrix (Probabilidad) copy
Residuo de cartón/papel,Residuo de cartón/papel,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Residuo plástico,Residuo plástico,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Emisión de olor al ambiente,Emisión de olor al ambiente,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Residuo no reciclable,Residuo no reciclable,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Gas contaminantes,Gas contaminantes,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Uso de GLP,Uso de GLP,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Residuo metálico,Residuo metálico,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Residuo orgánico,Residuo orgánico,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Emisión de ruido al ambiente,Emisión de ruido al ambiente,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Descarga de efluente industrial,Descarga de efluente industrial,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Descarga de efluente cloacal,Descarga de efluente cloacal,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Uso de gas,Uso de gas,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Producto peligroso,Producto peligroso,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Gas de combustión,Gas de combustión,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Uso de agua,Uso de agua,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Material particulado,Material particulado,,L3,Factor Ambiental,Peligros,,,,Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,,,,,,
Residuo de madera,Residuo de madera,,L3,Factor Ambiental,Peligros,,,,,,,,,,
Uso de gasoil,Uso de gasoil,,L3,Factor Ambiental,Peligros,,,,,,,,,,
